ts,node,slot,block_no,hash,era
2026-05-16T16:09:43Z,relay,103,13,6fc43e9e107382586d5090f523e13d26049ba3c1768eaa711faa382ec5954e17,Conway
2026-05-16T16:09:43Z,dugite-bp,102,12,b0cc233a348afa6c310d6097f8c83d9d0c8602dfb057c98644f024bc9545acc3,Conway
2026-05-16T16:09:43Z,cardano-bp,103,13,6fc43e9e107382586d5090f523e13d26049ba3c1768eaa711faa382ec5954e17,Conway
2026-05-16T16:09:48Z,relay,103,13,6fc43e9e107382586d5090f523e13d26049ba3c1768eaa711faa382ec5954e17,Conway
2026-05-16T16:09:48Z,dugite-bp,102,12,b0cc233a348afa6c310d6097f8c83d9d0c8602dfb057c98644f024bc9545acc3,Conway
2026-05-16T16:09:48Z,cardano-bp,113,14,7f383d28553bd5f08daea7c29be066dc283ecbaac32f3e94bd8074ac0dfd43ac,Conway
2026-05-16T16:09:53Z,relay,115,15,b06e98a044f519aef23d60ccc9871bef8e977869b71aa3e826c3e9b30400f557,Conway
2026-05-16T16:09:53Z,dugite-bp,115,15,b06e98a044f519aef23d60ccc9871bef8e977869b71aa3e826c3e9b30400f557,Conway
2026-05-16T16:09:53Z,cardano-bp,115,15,b06e98a044f519aef23d60ccc9871bef8e977869b71aa3e826c3e9b30400f557,Conway
2026-05-16T16:09:58Z,relay,115,15,b06e98a044f519aef23d60ccc9871bef8e977869b71aa3e826c3e9b30400f557,Conway
2026-05-16T16:09:58Z,dugite-bp,115,15,b06e98a044f519aef23d60ccc9871bef8e977869b71aa3e826c3e9b30400f557,Conway
2026-05-16T16:09:58Z,cardano-bp,115,15,b06e98a044f519aef23d60ccc9871bef8e977869b71aa3e826c3e9b30400f557,Conway
2026-05-16T16:10:03Z,relay,127,16,6e9f5c3c7ba901087979414e2b3c0b580b5f45227ed306dc760f5da3265d0f37,Conway
2026-05-16T16:10:03Z,dugite-bp,127,16,6e9f5c3c7ba901087979414e2b3c0b580b5f45227ed306dc760f5da3265d0f37,Conway
2026-05-16T16:10:03Z,cardano-bp,127,16,6e9f5c3c7ba901087979414e2b3c0b580b5f45227ed306dc760f5da3265d0f37,Conway
2026-05-16T16:10:08Z,relay,130,17,748c94bf18712e6a4e3045be38c0219619c55794f668a9733d40bec9a72e75d4,Conway
2026-05-16T16:10:08Z,dugite-bp,130,17,748c94bf18712e6a4e3045be38c0219619c55794f668a9733d40bec9a72e75d4,Conway
2026-05-16T16:10:08Z,cardano-bp,130,17,748c94bf18712e6a4e3045be38c0219619c55794f668a9733d40bec9a72e75d4,Conway
2026-05-16T16:10:14Z,relay,130,17,748c94bf18712e6a4e3045be38c0219619c55794f668a9733d40bec9a72e75d4,Conway
2026-05-16T16:10:14Z,dugite-bp,138,18,03adafdee8e9d8b609aff5d05f70a674bc73f98fb0fdc40d668172b8daf32e79,Conway
2026-05-16T16:10:14Z,cardano-bp,138,18,2386c8f3a856dee5dbabc9dec29c060f1d2257fc62bac736f7f26af6a92bc4c8,Conway
2026-05-16T16:10:19Z,relay,139,19,488792bb69cc52e3a453a4a76432fdd72de95dae1d11195f746c9516abdfd064,Conway
2026-05-16T16:10:19Z,dugite-bp,138,18,03adafdee8e9d8b609aff5d05f70a674bc73f98fb0fdc40d668172b8daf32e79,Conway
2026-05-16T16:10:19Z,cardano-bp,139,19,488792bb69cc52e3a453a4a76432fdd72de95dae1d11195f746c9516abdfd064,Conway
2026-05-16T16:10:24Z,relay,146,21,aba180c06f78c3818b9abcd1c889df296b890b099a8c103531449ea1716fdbe9,Conway
2026-05-16T16:10:24Z,dugite-bp,146,21,aba180c06f78c3818b9abcd1c889df296b890b099a8c103531449ea1716fdbe9,Conway
2026-05-16T16:10:24Z,cardano-bp,146,21,aba180c06f78c3818b9abcd1c889df296b890b099a8c103531449ea1716fdbe9,Conway
2026-05-16T16:10:29Z,relay,146,21,aba180c06f78c3818b9abcd1c889df296b890b099a8c103531449ea1716fdbe9,Conway
2026-05-16T16:10:29Z,dugite-bp,146,21,aba180c06f78c3818b9abcd1c889df296b890b099a8c103531449ea1716fdbe9,Conway
2026-05-16T16:10:29Z,cardano-bp,154,22,01a2fb425f674f6279a5bc9b167abba5dd1ccb2bbf67c70226ec3ff3abd41ec8,Conway
2026-05-16T16:10:34Z,relay,154,22,01a2fb425f674f6279a5bc9b167abba5dd1ccb2bbf67c70226ec3ff3abd41ec8,Conway
2026-05-16T16:10:34Z,dugite-bp,154,22,01a2fb425f674f6279a5bc9b167abba5dd1ccb2bbf67c70226ec3ff3abd41ec8,Conway
