ts,observer,event,slot,hash,issuer_vkey,body_size,n_txs
2026-05-16T15:18:04Z,dugite-bp,recv,191,3a92771a4ff6e7650dadd63afdb78ec959c8c25f91b40665f0a4c83ec1cbcddc,,,
2026-05-16T15:18:11.002211Z,cardano-bp,forge,199,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,,,
2026-05-16T15:18:11.00288Z,cardano-bp,recv,199,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,,,
2026-05-16T15:18:11.00296Z,cardano-bp,forge,199,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,,,
2026-05-16T15:18:11Z,dugite-relay,recv,199,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,,,
2026-05-16T15:18:12Z,dugite-bp,recv,199,e1710db7d2e77a62af06327df08d17e76c7c13d150e2bcfa45fbb8018893e84a,,,
2026-05-16T15:18:18Z,dugite-bp,forge,206,c65d0863c01d3432a907201b40c8fda83582e4f3076e27abc7a7b18922348c51,,,
2026-05-16T15:18:19Z,dugite-relay,recv,206,c65d0863c01d3432a907201b40c8fda83582e4f3076e27abc7a7b18922348c51,,,
2026-05-16T15:18:19.275721Z,cardano-bp,recv,206,c65d0863c01d3432a907201b40c8fda83582e4f3076e27abc7a7b18922348c51,,,
2026-05-16T15:18:25.002784Z,cardano-bp,forge,213,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,,,
2026-05-16T15:18:25.004565Z,cardano-bp,recv,213,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,,,
2026-05-16T15:18:25.005611Z,cardano-bp,forge,213,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,,,
2026-05-16T15:18:25Z,dugite-relay,recv,213,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,,,
2026-05-16T15:18:26Z,dugite-bp,recv,213,6e59122f7c2d82bcdec924fa5967ec9369a9325c95bc54d8ab36b168bc179dfa,,,
2026-05-16T15:18:33.002566Z,cardano-bp,forge,221,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,,,
2026-05-16T15:18:33.003373Z,cardano-bp,recv,221,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,,,
2026-05-16T15:18:33.00397Z,cardano-bp,forge,221,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,,,
2026-05-16T15:18:33Z,dugite-relay,recv,221,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,,,
2026-05-16T15:18:34Z,dugite-bp,recv,221,d79737518365869a97298c0cb0a12e5177c4a2f5205c73fd6a446f3fec74ddc7,,,
2026-05-16T15:18:46.002624Z,cardano-bp,forge,234,14fb9fcacb3edccc2d7133d00c51b7a2b7a9ecd1ee55b8ad293fcca86079aa46,,,
2026-05-16T15:18:46.004374Z,cardano-bp,recv,234,14fb9fcacb3edccc2d7133d00c51b7a2b7a9ecd1ee55b8ad293fcca86079aa46,,,
2026-05-16T15:18:46.005263Z,cardano-bp,forge,234,14fb9fcacb3edccc2d7133d00c51b7a2b7a9ecd1ee55b8ad293fcca86079aa46,,,
2026-05-16T15:18:47Z,dugite-bp,forge,235,6c04ec5c8d0b36872185a42eaaecec1d52bf5ccfa034886c256c71947ca82e2f,,,
2026-05-16T15:18:47Z,dugite-relay,recv,234,14fb9fcacb3edccc2d7133d00c51b7a2b7a9ecd1ee55b8ad293fcca86079aa46,,,
2026-05-16T15:18:49Z,dugite-relay,recv,235,6c04ec5c8d0b36872185a42eaaecec1d52bf5ccfa034886c256c71947ca82e2f,,,
